epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.792680025100708,0.49417126178741455,0.7767999768257141,0.4905748963356018
1,0.8040000200271606,0.4750230014324188,0.7610999941825867,0.4946771562099457
2,0.8135200142860413,0.4573124945163727,0.7695000171661377,0.4839319884777069
3,0.8213599920272827,0.4441055953502655,0.8091999888420105,0.4461081027984619
4,0.8280799984931946,0.4319169223308563,0.7857999801635742,0.4603760242462158
5,0.8315200209617615,0.42277538776397705,0.817799985408783,0.429751455783844
6,0.8332399725914001,0.416444331407547,0.8141999840736389,0.42526328563690186
7,0.834559977054596,0.40841424465179443,0.7537500262260437,0.5014706254005432
8,0.8402799963951111,0.3997556269168854,0.8245499730110168,0.40571415424346924
9,0.8426799774169922,0.3936324119567871,0.8260499835014343,0.401734322309494
