epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5244799852371216,0.7467314600944519,0.5411499738693237,0.687599778175354
1,0.5522000193595886,0.6890785694122314,0.5756000280380249,0.677841067314148
2,0.5707200169563293,0.6797234416007996,0.5718500018119812,0.6782416105270386
3,0.5738000273704529,0.6779536008834839,0.5674999952316284,0.6777430176734924
4,0.579039990901947,0.6765149235725403,0.5597500205039978,0.6835912466049194
5,0.5789200067520142,0.6750894784927368,0.5771999955177307,0.6755086183547974
6,0.5771600008010864,0.6747127175331116,0.5403000116348267,0.6961603164672852
7,0.5783200263977051,0.6737486720085144,0.5763000249862671,0.6771742701530457
8,0.5840799808502197,0.6728458404541016,0.5767999887466431,0.6752981543540955
9,0.5852400064468384,0.6724565029144287,0.5616999864578247,0.6815540790557861
