epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6053199768066406,0.6622413992881775,0.6157500147819519,0.6559033393859863
1,0.6364399790763855,0.6452409029006958,0.6459500193595886,0.6391645669937134
2,0.663919985294342,0.6275354027748108,0.6661499738693237,0.6232106685638428
3,0.6860799789428711,0.6114950180053711,0.683650016784668,0.6064664721488953
4,0.7086799740791321,0.5950005650520325,0.7021499872207642,0.5904805064201355
5,0.7224799990653992,0.5776035189628601,0.7142000198364258,0.5752999186515808
6,0.7364000082015991,0.5633943676948547,0.7279000282287598,0.5594238042831421
7,0.752839982509613,0.5465255975723267,0.7287499904632568,0.5483198165893555
8,0.7660800218582153,0.5289293527603149,0.7547500133514404,0.5248505473136902
9,0.7783200144767761,0.5128738880157471,0.7553499937057495,0.5151408910751343
