epoch,loss,rounded_accuracy,val_loss,val_rounded_accuracy
0,0.1912243813276291,0.973996102809906,0.03475764021277428,0.998998761177063
1,0.021951569244265556,0.9989989995956421,0.014764135703444481,0.998998761177063
2,0.011905965395271778,0.9989989995956421,0.009930815547704697,0.998998761177063
3,0.008838179521262646,0.9989989995956421,0.008034629747271538,0.998998761177063
4,0.0075025842525064945,0.9989989995956421,0.007113056723028421,0.998998761177063
5,0.006815075874328613,0.9989989995956421,0.006609921343624592,0.998998761177063
6,0.006426128093153238,0.9989989995956421,0.006314477417618036,0.998998761177063
7,0.006193204317241907,0.9989989995956421,0.006133762188255787,0.998998761177063
8,0.0060488386079669,0.9989989995956421,0.006020522676408291,0.998998761177063
9,0.0059578088112175465,0.9989989995956421,0.005949119105935097,0.998998761177063
10,0.005899911280721426,0.9989989995956421,0.005903309676796198,0.998998761177063
11,0.005863160826265812,0.9989989995956421,0.005874549504369497,0.998998761177063
12,0.00583998765796423,0.9989989995956421,0.005856202449649572,0.998998761177063
13,0.005825558677315712,0.9989989995956421,0.005845393054187298,0.998998761177063
14,0.00581671018153429,0.9989989995956421,0.00583786703646183,0.998998761177063
15,0.005811227019876242,0.9989989995956421,0.005833991803228855,0.998998761177063
16,0.005807783920317888,0.9989989995956421,0.0058309705927968025,0.998998761177063
17,0.005805518012493849,0.9989989995956421,0.005829207599163055,0.998998761177063
18,0.005803979001939297,0.9989989995956421,0.0058281938545405865,0.998998761177063
19,0.005802744533866644,0.9989989995956421,0.005827250424772501,0.998998761177063
